127.0.0.1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/ford-everest-2048x1469.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/mux.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/chevrolet-trailblazer-2048x1469.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/no-image.jpg HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/toyota-fortuner-2048x1469.jpg HTTP/1.1" 200 211791
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/mux.jpg HTTP/1.1" 200 264256
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/nissan-terra-2048x1469.jpg HTTP/1.1" 200 216487
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:40:04 +0800] "GET /tommystore/images/ford-everest-2048x1469.jpg HTTP/1.1" 200 262441
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/ajax/login HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/resources/dashboard.css HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/resources/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/resources/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/resources/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/resources/feather.min.js HTTP/1.1" 200 72443
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /resources/jquery-3.2.1.slim.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/javascript/common.js HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/resources/login.css HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /assets/js/vendor/jquery-slim.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:03 +0800] "GET /tommystore/javascript/login/loginForm.js HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:05 +0800] "POST /tommystore/ajax/loggingInTest HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [25/Oct/2019:14:50:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [25/Oct/2019:14:50:26 +0800] "GET /tommystore/ HTTP/1.1" 200 14089
127.0.0.1 - - [25/Oct/2019:14:50:27 +0800] "GET /tommystore/resources/feather.min.js HTTP/1.1" 304 -
